asset,median_quarterly_return,signal,rank
USO,0.09789473684210526,GREEN,1
VNQ,0.08793632658523687,GREEN,2
XLK,0.08613222946046495,GREEN,3
XLE,0.07936450930834948,GREEN,4
DBC,0.07865018376211164,GREEN,5
XLI,0.07152680983335591,GREEN,6
XLB,0.0709763301302051,GREEN,7
SPY,0.06757716299052663,GREEN,8
QQQ,0.06600246424239675,GREEN,9
XLY,0.06404985255991624,GREEN,10
VT,0.05698622140298659,GREEN,11
XLF,0.05245916392926242,GREEN,12
ACWX,0.044134265265977746,YELLOW,13
EDV,0.04345577610464679,YELLOW,14
GDX,0.039845406169332076,YELLOW,15
IWM,0.03971503175268354,YELLOW,16
XLV,0.0351788281144787,YELLOW,17
IAU,0.030988274706867713,YELLOW,18
XLP,0.03088360496229625,YELLOW,19
GLD,0.030164378918827284,YELLOW,20
XLU,0.028867278040915156,YELLOW,21
TLT,0.025153230070299903,YELLOW,22
SLV,0.015883100381194337,YELLOW,23
LQD,0.013298019600967104,YELLOW,24
TIP,0.01274618920880699,YELLOW,25
AGG,0.004362419449617905,YELLOW,26
HYG,0.0012829602619941483,YELLOW,27
GOVT,0.0012365264489813677,YELLOW,28
BIL,-0.0002181771137690358,RED,29
IEF,-0.0002621461027613181,RED,30
SHY,-0.0009290369449352909,RED,31
UNG,-0.030973451327433676,RED,32
